Language,Code,Language Data,Models
German,de,lang/de,3 models
Greek,el,lang/el,2 models
English,en,lang/en,8 models
Spanish,es,lang/es,2 models
French,fr,lang/fr,2 models
Italian,it,lang/it,1 model
Lithuanian,lt,lang/lt,1 model
Norwegian Bokmål,nb,lang/nb,1 model
Dutch,nl,lang/nl,1 model
Portuguese,pt,lang/pt,1 model
Multi-language,xx,lang/xx,1 model
Afrikaans,af,lang/af,none yet
Arabic,ar,lang/ar,none yet
Bulgarian,bg,lang/bg,none yet
Bengali,bn,lang/bn,none yet
Catalan,ca,lang/ca,none yet
Czech,cs,lang/cs,none yet
Danish,da,lang/da,none yet
Estonian,et,lang/et,none yet
Persian,fa,lang/fa,none yet
Finnish,fi,lang/fi,none yet
Irish,ga,lang/ga,none yet
Hebrew,he,lang/he,none yet
Hindi,hi,lang/hi,none yet
Croatian,hr,lang/hr,none yet
Hungarian,hu,lang/hu,none yet
Indonesian,id,lang/id,none yet
Icelandic,is,lang/is,none yet
Japanese,ja,lang/ja,none yet
Kannada,kn,lang/kn,none yet
Korean,ko,lang/ko,none yet
Luxembourgish,lb,lang/lb,none yet
Latvian,lv,lang/lv,none yet
Marathi,mr,lang/mr,none yet
Polish,pl,lang/pl,none yet
Romanian,ro,lang/ro,none yet
Russian,ru,lang/ru,none yet
Sinhala,si,lang/si,none yet
Slovak,sk,lang/sk,none yet
Slovenian,sl,lang/sl,none yet
Albanian,sq,lang/sq,none yet
Serbian,sr,lang/sr,none yet
Swedish,sv,lang/sv,none yet
Tamil,ta,lang/ta,none yet
Telugu,te,lang/te,none yet
Thai,th,lang/th,none yet
Tagalog,tl,lang/tl,none yet
Turkish,tr,lang/tr,none yet
Tatar,tt,lang/tt,none yet
Ukrainian,uk,lang/uk,none yet
Urdu,ur,lang/ur,none yet
Vietnamese,vi,lang/vi,none yet
Chinese,zh,lang/zh,none yet
