,depth,title,section,sentence
0,0,ELIZA,Overview,"Joseph Weizenbaum's ELIZA, running the DOCTOR script, was created to provide a parody of ""the responses of a non-directional psychotherapist in an initial psychiatric interview"" and to ""demonstrate that the communication between man and machine was superficial""."
1,0,ELIZA,Overview,"While ELIZA is most well known for acting in the manner of a psychotherapist, this mannerism is due to the data and instructions supplied by the DOCTOR script."
2,0,ELIZA,Overview,"ELIZA itself examined the text for keywords, applied values to said keywords, and transformed the input into an output; the script that ELIZA ran determined the keywords, set the values of keywords, and set the rules of transformation for the output."
3,0,ELIZA,Overview,"Weizenbaum chose to make the DOCTOR script in the context of psychotherapy to ""sidestep the problem of giving the program a data base of real-world knowledge"", as in a Rogerian therapeutic situation, the program had only to reflect back the patient's statements."
4,0,ELIZA,Overview,"The algorithms of DOCTOR allowed for a deceptively intelligent response, that deceived many individuals when first using the program."
5,0,ELIZA,Overview,"Weizenbaum named his program ELIZA after Eliza Doolittle, a working-class character in George Bernard Shaw's Pygmalion."
6,0,ELIZA,Overview,"According to Weizenbaum, ELIZA's ability to be ""incrementally improved"" by various users made it similar to Eliza Doolittle, since Eliza Doolittle was taught to speak with an upper-class accent in Shaw's play."
7,0,ELIZA,Overview,"However, unlike in Shaw's play, ELIZA is incapable of learning new patterns of speech or new words through interaction alone."
8,0,ELIZA,Overview,"Edits must be made directly to ELIZA's active script in order to change the manner by which the program operates.
"
9,0,ELIZA,Overview,"Weizenbaum first implemented ELIZA in his own SLIP list-processing language, where, depending upon the initial entries by the user, the illusion of human intelligence could appear, or be dispelled through several interchanges."
10,0,ELIZA,Overview,"Some of ELIZA's responses were so convincing that Weizenbaum and several others have anecdotes of users becoming emotionally attached to the program, occasionally forgetting that they were conversing with a computer."
11,0,ELIZA,Overview,Weizenbaum's own secretary reportedly asked Weizenbaum to leave the room so that she and ELIZA could have a real conversation.
12,0,ELIZA,Overview,Weizenbaum was surprised by this
13,0,ELIZA,Overview,", later writing, ""I had not realized ... that extremely short exposures to a relatively simple computer program could induce powerful delusional thinking in quite normal people.""In 1966, interactive computing (via a teletype) was new."
14,0,ELIZA,Overview,"It was 15 years before the personal computer became familiar to the general public, and three decades before most people encountered attempts at natural language processing in Internet services like Ask.com or PC help systems such as Microsoft Office Clippit."
15,0,ELIZA,Overview,"Although those programs included years of research and work, ELIZA remains a milestone simply because it was the first time a programmer had attempted such a human-machine interaction with the goal of creating the illusion (however brief) of human-human interaction."
16,0,ELIZA,Overview,At the ICCC 1972 ELIZA met another early artificial intelligence program named PARRY and had a computer-only conversation.
17,0,ELIZA,Overview,"While ELIZA was built to be a ""Doctor"" PARRY was intended to simulate a patient with schizophrenia."
18,0,ELIZA,Design,"Weizenbaum originally wrote ELIZA in MAD-Slip for the IBM 7094, as a program to make natural language conversation possible with a computer."
19,0,ELIZA,Design,"To accomplish this, Weizenbaum identified five ""fundamental technical problems"" for ELIZA to overcome: the identification of critical words, the discovery of a minimal context, the choice of appropriate transformations, the generation of responses appropriate to the transformation or in the absence of critical words and the provision of an ending capacity for ELIZA scripts."
20,0,ELIZA,Design,Weizenbaum solved these problems in his ELIZA program and made ELIZA such that it had no built in contextual framework or universe of discourse.
21,0,ELIZA,Design,"However, this required ELIZA to have a script of instructions on how to respond to inputs from users.
"
22,0,ELIZA,Design,"ELIZA starts its process of responding to an input by a user by first examining the text input for a ""keyword""."
23,0,ELIZA,Design,"A ""keyword"" is a word designated as important by the acting ELIZA script, which assigns to each keyword a precedence number, or a RANK, designed by the programmer."
24,0,ELIZA,Design,"If such words are found, they are put into a ""keystack"", with the keyword of the highest RANK at the top."
25,0,ELIZA,Design,The input sentence is then manipulated and transformed as the rule associated with the keyword of the highest RANK directs.
26,0,ELIZA,Design,"For example, when the DOCTOR script encounters words such as ""alike"" or ""same"", it would output a message pertaining to similarity, in this case “"
27,0,ELIZA,Design,"In what way?”, as these words had high precedence number."
28,0,ELIZA,Design,"This also demonstrates how certain words, as dictated by the script, can be manipulated regardless of contextual considerations, such as switching first-person pronouns and second-person pronouns and vice versa, as these too had high precedence numbers."
29,0,ELIZA,Design,"Such words with high precedence numbers are deemed superior to conversational patterns, and are treated independently of contextual patterns.
"
30,0,ELIZA,Design,"Following the first examination, the next step of the process is to apply an appropriate transformation rule, which includes two parts, the ""decomposition rule"" and the ""reassembly rule""."
31,0,ELIZA,Design,"First, the input is reviewed for syntactical patterns in order to establish the minimal context necessary to respond."
32,0,ELIZA,Design,"Using the keywords and other nearby words from the input, different disassembly rules are tested until an appropriate pattern is found."
33,0,ELIZA,Design,"Using the script's rules, the sentence is then ""dismantled"" and arranged into sections of the component parts as the ""decomposition rule for the highest ranking keyword"" dictates."
34,0,ELIZA,Design,"The example that Weizenbaum gives is the input ""I are very helpful"" (remembering that ""I"" is ""You"" transformed), which is broken into (1) empty (2) I (3) are (4) very helpful."
35,0,ELIZA,Design,"The decomposition rule has broken the phrase into four small segments, that contain both the keywords and the information in the sentence."
36,0,ELIZA,Design,"The decomposition rule then designates a particular reassembly rule, or set of reassembly rules, to follow when reconstructing the sentence."
37,0,ELIZA,Design,"The reassembly rule then takes the fragments of the input that the decomposition rule had created, rearranges them, and adds in programmed words to create a response."
38,0,ELIZA,Design,"Using Weizenbaum's example previously stated, such a reassembly rule would take the fragments and apply them to the phrase ""What makes you think I am (4)"" which would result in ""What makes you think I am very helpful""."
39,0,ELIZA,Design,"This example is rather simple, since depending upon the disassembly rule, the output could be significantly more complex and use more of the input from the user."
40,0,ELIZA,Design,"However, from this reassembly, ELIZA then sends the constructed sentence to the user in the form of text on the screen."
