,depth,title,section,sentence
0,0,Chatbot,Background,"In 1950, Alan Turing's famous article ""Computing Machinery and Intelligence"" was published, which proposed what is now called the Turing test as a criterion of intelligence."
1,0,Chatbot,Background,"This criterion depends on the ability of a computer program to impersonate a human in a real-time written conversation with a human judge, sufficiently well that the judge is unable to distinguish reliably—on the basis of the conversational content alone—between the program and a real human."
2,0,Chatbot,Background,"The notoriety of Turing's proposed test stimulated great interest in Joseph Weizenbaum's program ELIZA, published in 1966, which seemed to be able to fool users into believing that they were conversing with a real human."
3,0,Chatbot,Background,"However Weizenbaum himself did not claim that ELIZA was genuinely intelligent, and the introduction to his paper presented it more as a debunking exercise:

"
4,0,Chatbot,Background,"[In] artificial intelligence ... machines are made to behave in wondrous ways, often sufficient to dazzle even the most experienced observer."
5,0,Chatbot,Background,"But once a particular program is unmasked, once its inner workings are explained ... its magic crumbles away; it stands revealed as a mere collection of procedures ..."
6,0,Chatbot,Background,"The observer says to himself ""I could have written that""."
7,0,Chatbot,Background,"With that thought he moves the program in question from the shelf marked ""intelligent"", to that reserved for curios ..."
8,0,Chatbot,Background,"The object of this paper is to cause just such a re-evaluation of the program about to be ""explained""."
9,0,Chatbot,Background,"Few programs ever needed it more.
"
10,0,Chatbot,Background,"ELIZA's key method of operation (copied by chatbot designers ever since) involves the recognition of clue words or phrases in the input, and the output of corresponding pre-prepared or pre-programmed responses that can move the conversation forward in an apparently meaningful way (e.g. by responding to any input that contains the word 'MOTHER' with 'TELL ME MORE ABOUT YOUR FAMILY')."
11,0,Chatbot,Background,"Thus an illusion of understanding is generated, even though the processing involved has been merely superficial."
12,0,Chatbot,Background,"ELIZA showed that such an illusion is surprisingly easy to generate, because human judges are so ready to give the benefit of the doubt when conversational responses are capable of being interpreted as ""intelligent"".
"
13,0,Chatbot,Background,Interface designers have come to appreciate that humans' readiness to interpret computer output as genuinely conversational—even when it is actually based on rather simple pattern-matching—can be exploited for useful purposes.
14,0,Chatbot,Background,"Most people prefer to engage with programs that are human-like, and this gives chatbot-style techniques a potentially useful role in interactive systems that need to elicit information from users, as long as that information is relatively straightforward and falls into predictable categories."
15,0,Chatbot,Background,"Thus, for example, online help systems can usefully employ chatbot techniques to identify the area of help that users require, potentially providing a ""friendlier"" interface than a more formal search or menu system."
16,0,Chatbot,Background,"This sort of usage holds the prospect of moving chatbot technology from Weizenbaum's ""shelf ... reserved for curios"" to that marked ""genuinely useful computational methods""."
17,0,Chatbot,Development,The classic historic early chatbots are ELIZA (1966) and PARRY (1972).
18,0,Chatbot,Development,"More recent notable programs include A.L.I.C.E., Jabberwacky and D.U.D.E"
19,0,Chatbot,Development,(Agence Nationale de la Recherche and CNRS 2006).
20,0,Chatbot,Development,"While ELIZA and PARRY were used exclusively to simulate typed conversation, many chatbots now include functional features such as games and web searching abilities."
21,0,Chatbot,Development,"In 1984, a book called The Policeman's Beard is Half Constructed was published, allegedly written by the chatbot Racter (though the program as released would not have been capable of doing so).One pertinent field of AI research is natural language processing."
22,0,Chatbot,Development,"Usually, weak AI fields employ specialized software or programming languages created specifically for the narrow function required."
